StoreKey,Country,State,Square Meters,Open Date,Store Name
1,Australia,Australian Capital Territory,595,1/1/2008,Cyber Circuit
2,Australia,Northern Territory,665,1/12/2008,Elite Circuit
3,Australia,South Australia,2000,1/7/2012,NextGen Devices
4,Australia,Tasmania,2000,1/1/2010,Digital Depot
5,Australia,Victoria,2000,12/9/2015,Smart Plaza
6,Australia,Western Australia,2000,1/1/2010,Hyper Circuit
7,Canada,New Brunswick,1105,5/7/2007,Genius Tech
8,Canada,Newfoundland and Labrador,2105,7/2/2014,Future Tech
9,Canada,Northwest Territories,1500,3/4/2005,Circuit Masters
10,Canada,Nunavut,1210,4/4/2015,Neon Electronics
11,Canada,Yukon,1210,6/3/2009,Smart Solutions
12,France,Basse-Normandie,350,6/6/2012,E-Shop Pro
13,France,Corse,245,6/7/2013,E-Market Hub
14,France,Franche-ComtÃ©,350,12/15/2009,Nano Tech
15,France,La RÃ©union,400,1/1/2015,Tech Haven
16,France,Limousin,385,6/3/2010,Innovate Electronics
17,France,Martinique,350,7/8/2007,Powerhouse Electronics
18,France,Mayotte,310,8/8/2012,Future World
19,Germany,Berlin,1295,4/4/2015,Trendsetters
20,Germany,Brandenburg,1715,12/15/2012,SmartEdge
21,Germany,Freie Hansestadt Bremen,560,6/3/2018,Ultimate Electronics
22,Germany,Freistaat ThÃ¼ringen,2000,3/6/2008,Digital Masters
23,Germany,Hamburg,1365,1/1/2010,Digital Giants
24,Germany,Hessen,1855,12/15/2012,ElectroSmart
25,Germany,Mecklenburg-Vorpommern,1610,1/1/2010,Cyber Haven
26,Germany,Saarland,350,3/5/2019,Infinity Gear
27,Germany,Sachsen-Anhalt,2000,8/8/2008,Superior Gadgets
28,Italy,Caltanissetta,1200,12/15/2012,MegaByte Store
29,Italy,Enna,1000,1/1/2008,Prime Gadgets
30,Italy,Pesaro,2100,1/12/2008,Byte World
31,Netherlands,Drenthe,1085,1/7/2012,Gadget Masters
32,Netherlands,Flevoland,910,1/1/2010,Gadget Universe
33,Netherlands,Friesland,1540,12/9/2015,GigaTech
34,Netherlands,Groningen,1365,1/1/2010,Ultimate Tech
35,Netherlands,Zeeland,1225,5/7/2007,Power Gadgetry
36,United Kingdom,Armagh,1300,7/2/2014,AI Circuit
37,United Kingdom,Ayrshire,2100,3/4/2005,Future Electronics
38,United Kingdom,Belfast,1800,4/4/2015,Electro World
39,United Kingdom,Blaenau Gwent,2100,6/3/2009,Vortex Gadgets
40,United Kingdom,Dungannon and South Tyrone,1300,6/6/2012,Byte Haven
41,United Kingdom,Fermanagh,2100,6/7/2013,Quantum Store
42,United Kingdom,North Down,1900,12/15/2009,Supernova Electronics
43,United States,Alaska,1190,1/1/2015,Elite Gadgets
44,United States,Arkansas,2000,6/3/2010,Infinity Electronics
45,United States,Connecticut,2000,7/8/2007,Quantum Innovations
46,United States,Delaware,1015,8/8/2012,Electro Plaza
47,United States,Hawaii,1120,4/4/2015,Next Level Electronics
48,United States,Idaho,1540,12/15/2012,Virtual Market
49,United States,Iowa,2000,6/3/2018,Vortex Innovations
50,United States,Kansas,2000,3/6/2008,Zenith Electronics
51,United States,Maine,1295,1/1/2010,Innovators Hub
52,United States,Mississippi,2000,6/3/2009,AI Gear
53,United States,Montana,1260,6/6/2012,Virtual Trends
54,United States,Nebraska,2000,6/7/2013,Neon Trends
55,United States,Nevada,2000,12/15/2009,Nova Tech
56,United States,New Hampshire,1260,1/1/2015,Cloud Electronics
57,United States,New Mexico,1645,6/3/2010,Tech Wizards
58,United States,North Dakota,1330,7/8/2007,Nano World
59,United States,Oregon,2000,8/8/2012,Horizon Gadgets
60,United States,Rhode Island,1260,4/4/2005,Gadget Hub
61,United States,South Carolina,2000,12/15/2012,Hyper Tech
62,United States,South Dakota,1120,6/3/2018,Electro Sphere
63,United States,Utah,2000,3/6/2008,Pulse Tech
64,United States,Washington DC,1330,1/1/2010,MegaTech Stores
65,United States,West Virginia,1785,1/1/2012,Neon Innovations
66,United States,Wyoming,840,1/1/2014,Cyber Plaza
,,,,,
